OF,ISP
1.19981,270.0156
1.23699,275.0732
1.27498,280.0541
1.30088,283.5395
1.31428,285.0681
1.35943,289.9951
1.39969,294.3064
1.41244,295.1979
1.47135,300.1271
1.50353,302.7787
1.54216,305.058
1.60266,308.8012
1.62882,310.0902
1.69952,313.209
1.76127,315.0304
1.80385,316.256
1.90216,317.8963
2.00066,318.691
2.10283,318.5637
2.20167,317.9307
2.30296,317.0235
2.39928,315.863
2.46486,314.9065
2.50175,314.4178
2.60185,312.9174
2.70303,311.3623
2.80127,309.9165
2.90113,308.3391
3.00071,306.7947
3.10292,305.3275
3.20225,303.7501
3.30182,302.2826
3.40429,300.8374
3.47358,299.8705
3.50252,299.4246
